Symbol,Low,Open,Price,Volume,High,Change,Date
ACCESS,6.20,6.35,6.20,0,6.40,-0.15,7/6/2020
ACCESS,6.40,6.60,6.50,0,6.50,-0.10,7/2/2020
ACCESS,6.50,6.55,6.60,0,6.60,0.05,7/1/2020
ACCESS,6.50,6.60,6.55,0,6.55,-0.05,6/30/2020
ACCESS,6.50,6.60,6.60,0,6.60,0.00,6/29/2020
ACCESS,6.55,6.60,6.60,0,6.60,0.00,6/26/2020
ACCESS,6.60,6.60,6.60,0,6.60,0.00,6/25/2020
ACCESS,6.60,6.65,6.60,0,6.65,-0.05,6/24/2020
ACCESS,6.65,6.75,6.65,0,6.75,-0.10,6/23/2020
ACCESS,6.75,6.75,6.75,0,6.75,0.00,6/22/2020
,,,,,,,
ACCESS,6.75,6.80,6.75,0,6.80,-0.05,6/19/2020
ACCESS,6.80,6.85,6.80,0,6.85,-0.05,6/18/2020
ACCESS,6.75,6.75,6.85,0,6.85,0.10,6/17/2020
ACCESS,6.55,6.50,6.65,0,6.80,0.15,6/5/2020
ACCESS,6.50,6.85,6.50,0,7.00,-0.35,6/4/2020
ACCESS,6.80,7.10,6.85,0,7.10,-0.25,6/3/2020
ACCESS,7.00,7.20,7.10,0,7.20,-0.10,6/2/2020
ACCESS,7.10,7.10,7.20,0,7.20,0.10,6/1/2020
ACCESS,7.00,7.10,7.10,0,7.30,0.00,5/29/2020
ACCESS,7.10,7.35,7.10,0,7.65,-0.25,5/28/2020
,,,,,,,
ACCESS,6.60,6.70,6.70,0,6.70,0.00,5/22/2020
ACCESS,6.40,6.55,6.70,0,6.70,0.15,5/21/2020
ACCESS,6.45,6.60,6.55,0,6.75,-0.05,5/20/2020
ACCESS,6.30,6.40,6.60,0,6.80,0.20,5/19/2020
ACCESS,6.25,6.25,6.40,0,6.40,0.15,5/18/2020
ACCESS,6.20,6.50,6.55,0,6.70,0.05,5/6/2020
ACCESS,6.15,6.10,6.50,0,6.50,0.40,5/5/2020
ACCESS,6.10,6.60,6.10,0,6.25,-0.50,5/4/2020
ACCESS,6.30,6.35,6.60,0,6.70,0.25,4/30/2020
ACCESS,6.25,6.25,6.35,0,6.40,0.10,4/29/2020
,,,,,,,
ACCESS,6.25,6.25,6.25,0,6.55,0.00,4/28/2020
ACCESS,6.20,6.20,6.25,0,6.35,0.05,4/27/2020
ACCESS,6.20,6.35,6.20,0,6.35,-0.15,4/24/2020
ACCESS,6.30,6.25,6.35,0,6.40,0.10,4/23/2020
ACCESS,6.10,6.10,6.25,0,6.25,0.15,4/22/2020
ACCESS,6.00,6.40,6.10,0,6.10,-0.30,4/21/2020
ACCESS,6.35,6.70,6.40,0,6.80,-0.30,4/20/2020
ACCESS,6.10,6.30,6.70,0,6.70,0.40,4/17/2020
ACCESS,6.30,7.00,6.30,0,6.75,-0.70,4/16/2020
ACCESS,6.55,6.55,7.00,0,7.10,0.45,4/15/2020
,,,,,,,
ACCESS,6.60,6.65,6.95,0,6.95,0.30,4/14/2020
ACCESS,6.50,6.50,6.65,0,6.65,0.15,4/9/2020
ACCESS,6.45,6.60,6.50,0,6.60,-0.10,4/8/2020
